Дата,UserID,Продукт,Количество,Цена
2024-04-21,2129,Товар1,7,51.83
2024-04-14,1796,Товар2,6,47.21
2023-08-26,4897,Товар3,10,16.75
2024-02-09,8840,Товар3,5,51.93
2024-01-22,8039,Товар5,6,86.6
2024-06-29,8543,Товар5,1,17.28
2024-07-14,9043,Товар1,10,59.19
2024-07-08,9545,Товар4,3,37.17
2024-05-21,1678,Товар3,4,28.81
2023-09-07,9538,Товар4,2,55.66
2023-10-24,3767,Товар3,4,98.27
2024-05-04,4484,Товар1,5,35.8
2024-05-06,2851,Товар3,9,83.81
2023-12-23,5879,Товар2,1,92.15
2023-07-29,5188,Товар4,10,10.74
2023-09-16,9484,Товар5,6,93.8
2024-05-04,4753,Товар2,5,79.59
2024-01-07,6447,Товар2,3,45.64
2024-02-13,6236,Товар5,3,16.81
2024-06-15,8586,Товар4,9,43.94
2024-01-30,8220,Товар3,7,58.41
2024-07-14,2906,Товар1,2,36.65
2024-03-11,8602,Товар1,3,47.3
2024-01-28,4993,Товар2,9,33.91
2023-11-22,5023,Товар4,4,99.83
2024-01-13,5418,Товар1,8,86.21
2023-09-08,8561,Товар4,5,95.31
2024-02-24,4317,Товар1,3,25.23
2024-03-07,1253,Товар1,7,38.23
2023-10-23,6013,Товар1,4,40.07
2024-05-15,2304,Товар3,8,10.96
2023-11-17,7021,Товар1,6,27.37
2024-06-27,4793,Товар4,10,84.92
2023-11-09,1246,Товар1,1,57.5
2024-02-11,3448,Товар3,2,81.89
2023-11-17,4276,Товар3,2,79.93
2024-06-19,2573,Товар4,9,51.8
2024-01-15,6435,Товар4,6,35.8
2024-04-30,9523,Товар1,4,98.14
2024-02-03,8651,Товар1,9,93.64
2023-08-07,4892,Товар4,2,81.51
2023-11-28,8976,Товар4,8,74.15
2024-07-11,1918,Товар3,4,29.3
2023-09-22,7218,Товар1,2,95.3
2024-04-23,6405,Товар1,7,89.8
2024-03-17,4657,Товар2,1,36.97
2023-09-04,2872,Товар2,7,78.37
2023-08-07,2537,Товар3,4,70.61
2024-05-31,5045,Товар1,9,56.28
2024-04-19,6332,Товар4,9,43.09
2024-02-17,2102,Товар4,6,33.68
2024-02-20,6631,Товар3,7,43.4
2023-10-27,6494,Товар2,2,80.43
2023-09-28,4322,Товар2,8,79.47
2024-03-12,2779,Товар2,7,18.45
2023-12-11,8069,Товар5,9,29.17
2024-06-20,8796,Товар5,10,24.31
2024-02-27,1531,Товар4,6,90.38
2023-08-12,2206,Товар1,3,16.33
